venue,journal_norm,type,if_match_rule,n_faculty_publication_rows
Journal of Environmental Economics and Management,journal environmental economics management,JA,Exact journal-year,1
Journal of Environmental Management,journal environmental management,JA,Exact journal-year,1
Journal of Geophysical Research: Atmospheres,journal geophysical research atmospheres,JA,Exact journal-year,1
Journal of Modelling in Management,journal modelling in management,JA,Exact journal-year,1
Journal of the Academy of Marketing Science,journal academy marketing science,JA,Exact journal-year,1
Meat Science,meat science,JA,Exact journal-year,1
Medical Decision Making,medical decision making,JA,Exact journal-year,1
Nature Communications,nature communications,JA,Exact journal-year,1
Nature Ecology and Evolution,nature ecology evolution,JA,Exact journal-year,1
PLOS Water,plos water,JA,Exact journal-year,1
Precision Agriculture,precision agriculture,JA,Exact journal-year,1
Preventive Veterinary Medicine,preventive veterinary medicine,JA,Exact journal-year,1
Resources Conservation and Recycling,resources conservation recycling,JA,Exact journal-year,1
Small Ruminant Research,small ruminant research,JA,Exact journal-year,1
Trees Forests and People,trees forests people,JA,Exact journal-year,1
World Development,world development,JA,Exact journal-year,1
Contemporary Economic Policy,contemporary economic policy,JA,Nearest year (2021),2
Empirical Economics,empirical economics,JA,Nearest year (2021),1
Environmental and Resource Economics,environmental resource economics,JA,Nearest year (2021),1
Review of Industrial Organization,review industrial organization,JA,Nearest year (2021),1
American Journal of Agricultural Economics,american journal agricultural economics,JA,Nearest year (2022),5
Applied Economic Perspectives and Policy,applied economic perspectives policy,JA,Nearest year (2022),5
Journal of Agricultural and Resource Economics,journal agricultural resource economics,JA,Nearest year (2022),4
Renewable Agriculture and Food Systems,renewable agriculture food systems,JA,Nearest year (2022),3
Water Resources and Economics,water resources economics,JA,Nearest year (2022),3
Australian Journal of Agricultural and Resource Economics,australian journal agricultural resource economics,JA,Nearest year (2022),2
Food Security,food security,JA,Nearest year (2022),2
Global Ecology and Conservation,global ecology conservation,JA,Nearest year (2022),2
Science of the Total Environment,science total environment,JA,Nearest year (2022),2
British Food Journal,british food journal,JA,Nearest year (2022),1
Climatic Change,climatic change,JA,Nearest year (2022),1
Conservation Letters,conservation letters,JA,Nearest year (2022),1
Forest Policy and Economics,forest policy economics,JA,Nearest year (2022),1
Invasive Plant Science and Management,invasive plant science management,JA,Nearest year (2022),1
Journal of Cleaner Production,journal cleaner production,JA,Nearest year (2022),1
Journal of Environmental Management,journal environmental management,JA,Nearest year (2022),1
Journal of Forestry,journal forestry,JA,Nearest year (2022),1
Management Science,management science,JA,Nearest year (2022),1
Proceedings of the National Academy of Sciences,proceedings national academy sciences,JA,Nearest year (2022),1
Agricultural Finance Review,agricultural finance review,JA,Nearest year (2024),7
Journal of the Association of Environmental and Resource Economists,journal association environmental resource economists,JA,Nearest year (2024),4
Regional Studies,regional studies,JA,Nearest year (2024),4
Current Developments in Nutrition,current developments in nutrition,JA,Nearest year (2024),3
Journal of Economic Behavior and Organization,journal economic behavior organization,JA,Nearest year (2024),2
Journal of Environmental Economics and Policy,journal environmental economics policy,JA,Nearest year (2024),2
Science of the Total Environment,science total environment,JA,Nearest year (2024),2
Applied Animal Science,applied animal science,JA,Nearest year (2024),1
Environmental Politics,environmental politics,JA,Nearest year (2024),1
IEEE Open Journal of the Computer Society,ieee open journal computer society,JA,Nearest year (2024),1
Infectious Disease Modelling,infectious disease modelling,JA,Nearest year (2024),1
Journal of Agricultural Safety and Health,journal agricultural safety health,JA,Nearest year (2024),1
Journal of Environmental Economics and Management,journal environmental economics management,JA,Nearest year (2024),1
Journal of the Agricultural and Applied Economics Association,journal agricultural applied economics association,JA,Nearest year (2025),8
Q Open,q open,JA,Nearest year (2025),8
American Journal of Agricultural Economics,american journal agricultural economics,JA,Nearest year (2025),4
Rangeland Ecology & Management,rangeland ecology management,JA,Nearest year (2025),3
Applied Economic Perspectives and Policy,applied economic perspectives policy,JA,Nearest year (2025),2
African Journal of Range & Forage Science,african journal range forage science,JA,Nearest year (2025),1
Carbon Balance and Management,carbon balance management,JA,Nearest year (2025),1
Conservation Biology,conservation biology,JA,Nearest year (2025),1
Environmental and Resource Economics,environmental resource economics,JA,Nearest year (2025),1
Food Control,food control,JA,Nearest year (2025),1
Global Change Biology,global change biology,JA,Nearest year (2025),1
Journal of Dairy Science,journal dairy science,JA,Nearest year (2025),1
Journal of Health Economics,journal health economics,JA,Nearest year (2025),1
Journal of Outdoor Recreation and Tourism,journal outdoor recreation tourism,JA,Nearest year (2025),1
Land Economics,land economics,JA,Nearest year (2025),1
Nature,nature,JA,Nearest year (2025),1
PeerJ,peerj,JA,Nearest year (2025),1
Translational Animal Science,translational animal science,JA,Nearest year (2025),1
Water Resources Research,water resources research,JA,Nearest year (2025),1
World Development,world development,JA,Nearest year (2025),1
Western Economics Forum,western economics forum,JA,No IF match,15
Rangelands,rangelands,JA,No IF match,8
Choices,choices,JA,No IF match,7
Journal of Agricultural Education,journal agricultural education,JA,No IF match,5
NACTA Journal,nacta journal,JA,No IF match,4
Journal of the American Society of Farm Managers and Rural Appraisers,journal american society farm managers rural appraisers,JA,No IF match,3
Applied Economics Teaching Resources,applied economics teaching resources,JA,No IF match,2
Journal of Food Distribution Research,journal food distribution research,JA,No IF match,2
Agriculture,agriculture,JA,No IF match,1
Conservation Science,conservation science,JA,No IF match,1
Crop Production,crop production,JA,No IF match,1
Frontiers of Economics in China,frontiers economics in china,JA,No IF match,1
Global Food Security,global food security,JA,No IF match,1
J. Agricultural and Environmental Information Systems,j agricultural environmental information systems,JA,No IF match,1
Journal of Agribusiness,journal agribusiness,JA,No IF match,1
Journal of Economic Structures,journal economic structures,JA,No IF match,1
Ocean & Coastal Management,ocean coastal management,JA,No IF match,1
PARKS,parks,JA,No IF match,1
Scientific Data,scientific data,JA,No IF match,1
Sustainable Agriculture,sustainable agriculture,JA,No IF match,1
The Journal of Rural Health,journal rural health,JA,No IF match,1
The World Economy,world economy,JA,No IF match,1
Tourism and Hospitality,tourism hospitality,JA,No IF match,1
AAEA Conference Paper,aaea conference paper,WP,Not applicable,5
Food Systems Modeling (Elsevier),food systems modeling elsevier,BC,Not applicable,3
Regional Economic Development Institute,regional economic development institute,RP,Not applicable,3
CRC Press,crc press,BC,Not applicable,2
Climate Change and Animal Health,climate change animal health,BC,Not applicable,2
National Bureau of Economic Research,national bureau economic research,RP,Not applicable,2
University of Chicago Press,university chicago press,BC,Not applicable,2
American Farm Bureau Federation Research Report,american farm bureau federation research report,RP,Not applicable,1
American Journal of Agricultural Economics,american journal agricultural economics,RP,Not applicable,1
Animal-Science proceedings,animal science proceedings,CP,Not applicable,1
Center for Global Development Working Paper 713,center global development working paper 713,RP,Not applicable,1
EarthAirXiv,earthairxiv,WP,Not applicable,1
Economics of Research and Innovation in Agriculture,economics research innovation in agriculture,BC,Not applicable,1
Farm Foundation Issue Report,farm foundation issue report,RP,Not applicable,1
"Invasive Species in Forests and Rangelands of the US, Springer",invasive species in forests rangelands us springer,BC,Not applicable,1
Investing in Rural Prosperity,investing in rural prosperity,BC,Not applicable,1
"Plant Biotechnology and Genetics: Principles, Techniques, and Applications",plant biotechnology genetics principles techniques applications,BC,Not applicable,1
Teaching Environmental and Natural Resource Economics,teaching environmental natural resource economics,BC,Not applicable,1
"The U.S. Beef Supply Chain, Texas A&M AFPC",u s beef supply chain texas m afpc,BC,Not applicable,1
USPTO Economic Working Paper,uspto economic working paper,WP,Not applicable,1
United States Geological Survey,united states geological survey,RP,Not applicable,1
Virginia Tech Global Agricultural Productivity Report,virginia tech global agricultural productivity report,RP,Not applicable,1
World Intellectual Property Organization (WIPO) Economic Research Working Paper Series,world intellectual property organization wipo economic research working paper series,WP,Not applicable,1
World Organisation for Animal Health / World Bank,world organisation animal health world bank,RP,Not applicable,1
